psraid;usr_r;sex;q10c;q14a;q14b;q14c;q14d;q14e;q14g;q14h;q17a;q17b;q17c;q17d;q17e;q17f;q17g;q18;q20;q22a;q22b;q22c;q22d;q22e;q24;q25;q26;q29;age;mar;educ;empl;inc;mobileprice
100209;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;49;1;6;1;8;115,7
100210;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;80;5;6;4;6;115,9
100215;2;2;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;8;0;1;1;2;2;1;2;2; ; ;67;1;7;3;8;116,5
100222;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;30;1;5;2;7;116,5
100224;1;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;4; ;1;1;2;2;1;2;2; ; ;78;5;7;3; ;117,7
100225;2;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;3; ;2;1;1;2;1;2;2; ; ;60;1;7;1; ;117,8
100232;2;1;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ;2;3;1;1;2;2;1;2;2; ; ;53;3;3;1;7;118
100239;2;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;4; ;1;1;1;2;1;2;1;7; ;60;6;6;1;7;118,8
100250;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;56;6;4;6;1;119,4
100260;1;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;4; ;1;1;1;2;1;2;1; ; ;68;1;5;3;8;119,7
100264;3;1;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ;5;5;1;1;1;2;1;2; ; ; ;49;1;7;1;9;119,7
100266;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;2; ;1;2;2;2;1;2; ; ; ;71;5;1;6; ;120,1
100276;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;76;1;3;3;3;120,1
100278;2;1;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ;5;3;2;1;2;2;1;2;2; ; ;57;1;7;1;7;120,3
100279;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;0; ;1;1;2;2;1;2; ; ; ;78;5;5;4; ;120,3
100282;3;1;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;3;0;1;1;1;2;1;2;2; ; ;50;1;7;1; ;120,5
100283;2;1;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ;2;2;1;1;1;2;1;2;2; ; ;59;1;6;2;5;120,5
100292;2;1;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;3; ;1;1;1;2;1;2; ; ; ;81;1;6;3; ;120,5
100296;1;2;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ;3;0;1;1;2;2;1;2;2; ; ;67;6;6; ;7;120,6
100302;3;2;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;6;10;1;1;1;2;1;2;2; ; ;47;1;3;1;7;120,8
100303;3;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;3; ;1;1;2;1;2;2;2; ; ;82;1;3;2;8;121
100304;1;2;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;5;5;1;1;1;2;1;2;2; ; ;56;3;5;1;7;121,2
100305;3;2;1;2;1;1;2;2;1;2; ; ; ; ; ; ; ;2;1;1;1;2;2;1;2;2; ; ;47;1;6;1;4;121,2
100307;1;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;2; ;1;1;1;2;1;2;2; ; ;67;3;6;2;3;121,5
100309;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;86;1;3;3;2;121,5
100313;1;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;0; ;1;1;3;2;1;2;2; ; ;46;1;5;5;5;121,6
100321;1;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;0; ;1;1;2;2;1;2;2; ; ;46;6;7;1;9;122,3
100335;1;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;1;2;1;2;2; ; ;80;1;5;3;4;122,3
100336;3;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;0; ;1;1;1;2;1;2;2; ; ;70;5;5;2;2;122,5
100348;3;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;1; ;1;2;2;2;1;2;2; ; ; ;3;7;3; ;122,8
100349;3;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;1;1;2;1;2;2; ; ;85;5;1;3; ;122,9
100353;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;58;4;1;6;1;123,4
100354;2;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;1; ;1;2;1;2;1;3; ; ; ;40;1;6;2;8;123,8
100355;3;2;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ;1;1;2;2;2;2;2;2;2; ; ;32;6;3;4;1;124
100358;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;1; ;124,1
100365;1;2;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;10;10;1;1;1;2;1;2;2; ; ;41;7;7;4;4;124,2
100369;2;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;1;2;1;2;2; ; ;91;5;6;3;3;124,2
100376;1;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;0; ;1;2;3;2;1;2;2; ; ;34;3;7;1;2;124,3
100379;2;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;2; ;3;2;1;2;1;2; ; ; ;42;1;3;6; ;124,4
100388;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;62;7;3;6;3;124,9
100394;2;2;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ;2;0;1;1;1;2;1;2;2; ; ;54;1;6;3;7;124,9
